run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-19:27:17-17084,runattr,,,configname,General,,
General-9-20230611-19:27:17-17084,runattr,,,datetime,20230611-19:27:17,,
General-9-20230611-19:27:17-17084,runattr,,,datetimef,20230611-192717,,
General-9-20230611-19:27:17-17084,runattr,,,experiment,General,,
General-9-20230611-19:27:17-17084,runattr,,,inifile,HeavyTrafficLimits_lambda_1.2-switchProb_0.8-serviceTime_exponential(0.25s).ini,,
General-9-20230611-19:27:17-17084,runattr,,,iterationvars,,,
General-9-20230611-19:27:17-17084,runattr,,,iterationvarsd,,,
General-9-20230611-19:27:17-17084,runattr,,,iterationvarsf,,,
General-9-20230611-19:27:17-17084,runattr,,,measurement,,,
General-9-20230611-19:27:17-17084,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-19:27:17-17084,runattr,,,processid,17084,,
General-9-20230611-19:27:17-17084,runattr,,,repetition,9,,
General-9-20230611-19:27:17-17084,runattr,,,replication,rep9,,
General-9-20230611-19:27:17-17084,runattr,,,resultdir,results/lambda_1.2-switchProb_0.8-serviceTime_exponential(0.25s),,
General-9-20230611-19:27:17-17084,runattr,,,runnumber,9,,
General-9-20230611-19:27:17-17084,runattr,,,seedset,9,,
General-9-20230611-19:27:17-17084,config,,,network,HeavyTrafficLimits,,
General-9-20230611-19:27:17-17084,config,,,sim-time-limit,100000s,,
General-9-20230611-19:27:17-17084,config,,,repeat,20,,
General-9-20230611-19:27:17-17084,config,,,replication-label,rep9,,
General-9-20230611-19:27:17-17084,config,,,result-dir,results/lambda_1.2-switchProb_0.8-serviceTime_exponential(0.25s),,
General-9-20230611-19:27:17-17084,config,,,warmup-period,30000s,,
General-9-20230611-19:27:17-17084,config,,,**.source.lambda,1.2,,
General-9-20230611-19:27:17-17084,config,,,**.router.switchProbability,0.8,,
General-9-20230611-19:27:17-17084,config,,,**.server1.serviceTime,exponential(0.25s),,
General-9-20230611-19:27:17-17084,config,,,**.server2.serviceTime,exponential(0.25s),,
General-9-20230611-19:27:17-17084,config,,,**.server3.serviceTime,exponential(0.25s),,
General-9-20230611-19:27:17-17084,config,,,**.server1.crashTime,500,,
General-9-20230611-19:27:17-17084,config,,,**.server2.crashTime,750,,
General-9-20230611-19:27:17-17084,config,,,**.server3.crashTime,1000,,
General-9-20230611-19:27:17-17084,config,,,**.server1.queueLength.record,true,,
General-9-20230611-19:27:17-17084,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-19:27:17-17084,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-19:27:17-17084,config,,,**.server3.serviceTime.record,true,,
